"text","tipo","sensibile"
"When I remember her I feel down",1,0
"When I carry heavy things I feel like breaking my back",1,0
"there is too much pain when i move my arm",1,0
"My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected",1,0
"My muscles in my lower back are aching",1,0
"i have muscle pain that my backnI Have Muscle Pain at my back leg",1,0
"I have muscle pain in my left leg",1,0
"I have cut my finger because of playing football and I have to apply pain relief cream but it does not help",1,0
"I have acne in my face and other problems in my derma like itching",1,1
"I have a strange rash on my arm",1,0
"I have a sharp pain in my lower stomach",1,0
"i have a knee pain when i walk a lot",1,0
"dr I feel a strange and powerful pain inside my rib cage",1,0
"Dont cry",1,0
"I have for dia",1,0
"I used to be out of breath after going up a dozen of stairs but now I struggle to breath even when I sit down",1,0
"i feel that its hard to breath for me specially after running or making any effort",1,0
"I read a book for along time and when I finished reading I feel head ache",1,1
"i cant sleep because of cold",1,0
"My infected wound cause fever",1,1
"I lose a lot of my hair",1,0
"i feel dizzy after severe diarrhea",1,1
"I feel a pain in my back",1,0
"Laceration rupture or opening in the skin",1,1
"My back hurts me and i cant bend it or walk",1,0
"My head hurts whenever I try to do something",1,0
"I have dark spots on my skin",1,0
"I feel a sharp pain in my stomach",1,0
"I cant do anything I feel a weak in my body",1,0
"I have cloudy eyes",1,0
"I have a back pain since I turned 70 years old",1,0
"I tried to put my glasses to see more clear but cant find any change",1,0
"I feel deep Tingling when I touch Acne followed by bad sensation",1,1
"My acne gets worse when it is hot",1,1
"Sometimes I feel like a claw on my chest that leaves me breathless",1,0
"my abdominal muscles have great pain since i was at GYM",1,1
"My back got injured while i was lifting at the gym",1,1
"my ankle is hurting me",1,0
"I think my wound is infected",1,0
"i feel pain in my knee",1,0
"My skin is very dry and peeling",1,0
"i cant move my shoulder because of pain",1,0
"when i wake up in the morning i feel dizzy",1,0
"My hair is falling out in huge amount",1,0
"I have a sharp pain in my neck",1,0
"There is pain in the muscles I do not know caused",1,0
